Number of sites: 278214	Number of sequences: 259
col 1 name	col2 weight	fraction thats actg	fractionof seq thats actg-
Africa_Zambia_MK290742.1_Human_betaherpesvirus_5_strain_LUS193_complete_genome	0.2240	0.9892	1.0000
Africa_Zambia_MK290743.1_Human_betaherpesvirus_5_strain_LUS248_complete_genome	0.2284	0.9908	1.0000
Africa_Zambia_MK290744.1_Human_betaherpesvirus_5_strain_LUS283_complete_genome	0.2330	0.9884	1.0000
Africa_Zambia_MK422176.1_Human_betaherpesvirus_5_strain_LUS243_complete_genome	0.2313	0.9917	1.0000
Europe_United_Kingdom_MF084223.1_Human_betaherpesvirus_5_strain_LON1_complete_genome	0.2146	0.9881	1.0000
Europe_Greece_MF084224.1_Human_betaherpesvirus_5_strain_HER1_complete_genome	0.2233	0.9877	1.0000
Europe_Italy_KY490061.1_Human_betaherpesvirus_5_strain_PAV31_complete_genome	0.2220	0.9893	1.0000
Europe_Italy_KY490062.1_Human_betaherpesvirus_5_strain_PAV32_complete_genome	0.2215	0.9854	1.0000
Europe_Czech_Republic_KY490063.1_Human_betaherpesvirus_5_strain_PRA1_complete_genome	0.2221	0.9910	1.0000
Europe_Czech_Republic_KY490064.1_Human_betaherpesvirus_5_strain_PRA2_complete_genome	0.2396	0.9859	1.0000
Europe_Czech_Republic_KY490065.1_Human_betaherpesvirus_5_strain_PRA3_complete_genome	0.2221	0.9890	1.0000
Europe_Czech_Republic_KY490066.1_Human_betaherpesvirus_5_strain_PRA4_complete_genome	0.2268	0.9904	1.0000
Europe_Czech_Republic_KY490067.1_Human_betaherpesvirus_5_strain_PRA5_complete_genome	0.2262	0.9885	1.0000
Europe_Czech_Republic_KY490068.1_Human_betaherpesvirus_5_strain_PRA6_complete_genome	0.2148	0.9901	1.0000
Europe_Czech_Republic_KY490069.1_Human_betaherpesvirus_5_strain_PRA7_complete_genome	0.2210	0.9924	1.0000
Europe_Czech_Republic_KY490070.1_Human_betaherpesvirus_5_strain_PRA8_complete_genome	0.2389	0.9871	1.0000
Europe_Germany_KY490071.1_Human_betaherpesvirus_5_strain_HANChild1_complete_genome	0.2178	0.9901	1.0000
Europe_Germany_KY490072.1_Human_betaherpesvirus_5_strain_HANChild23_complete_genome	0.2437	0.9901	1.0000
Europe_Germany_KY490073.1_Human_betaherpesvirus_5_strain_HANRTR1A_complete_genome	0.2180	0.9891	1.0000
Europe_Germany_KY490074.1_Human_betaherpesvirus_5_strain_HANRTR1B_complete_genome	0.2215	0.9893	1.0000
Europe_Germany_KY490075.1_Human_betaherpesvirus_5_strain_HANRTR6_complete_genome	0.2231	0.9912	1.0000
Europe_Germany_KY490076.1_Human_betaherpesvirus_5_strain_HANRTR8_complete_genome	0.2505	0.9888	1.0000
Europe_Germany_KY490077.1_Human_betaherpesvirus_5_strain_HANRTR9_complete_genome	0.2179	0.9892	1.0000
Europe_Germany_KY490078.1_Human_betaherpesvirus_5_strain_HANRTR10_complete_genome	0.2524	0.9859	1.0000
Europe_Germany_KY490079.1_Human_betaherpesvirus_5_strain_HANSCTR1A_complete_genome	0.2246	0.9892	1.0000
Europe_Germany_KY490080.1_Human_betaherpesvirus_5_strain_HANSCTR1B_complete_genome	0.2198	0.9893	1.0000
Europe_Germany_KY490081.1_Human_betaherpesvirus_5_strain_HANSCTR2_complete_genome	0.2191	0.9904	1.0000
Europe_Germany_KY490082.1_Human_betaherpesvirus_5_strain_HANSCTR8_complete_genome	0.2165	0.9888	1.0000
Europe_Germany_KY490083.1_Human_betaherpesvirus_5_strain_HANSCTR9_complete_genome	0.2152	0.9882	1.0000
Europe_Germany_KY490084.1_Human_betaherpesvirus_5_strain_HANSCTR10_complete_genome	0.2261	0.9879	1.0000
Europe_Germany_KY490085.1_Human_betaherpesvirus_5_strain_HANSCTR11A_complete_genome	0.2280	0.9898	1.0000
Europe_Germany_KY490086.1_Human_betaherpesvirus_5_strain_HANSCTR11B_complete_genome	0.2192	0.9872	1.0000
Europe_Germany_KY490087.1_Human_betaherpesvirus_5_strain_HANSCTR12_complete_genome	0.2270	0.9900	1.0000
Europe_Germany_KY490088.1_Human_betaherpesvirus_5_strain_HANSCTR13_complete_genome	0.2523	0.9882	1.0000
Europe_Germany_KY123649.1_Human_herpesvirus_5_strain_HANChild4_complete_genome	0.2203	0.9896	1.0000
Europe_Germany_KY123650.1_Human_herpesvirus_5_strain_HANRTR2_complete_genome	0.2195	0.9893	1.0000
Europe_Germany_KY123651.1_Human_herpesvirus_5_strain_HANRTR4_complete_genome	0.2153	0.9899	1.0000
Europe_Germany_KY123652.1_Human_herpesvirus_5_strain_HANRTR5_complete_genome	0.2172	0.9897	1.0000
Europe_Germany_KY123653.1_Human_herpesvirus_5_strain_HANSCTR4_complete_genome	0.2226	0.9897	1.0000
Americas_USA_KX544832.1_Human_herpesvirus_5_isolate_SUB_24_complete_genome	0.2148	0.9903	1.0000
Americas_USA_KX544833.1_Human_herpesvirus_5_isolate_VR3908_complete_genome	0.2360	0.9861	1.0000
Americas_USA_KX544834.1_Human_herpesvirus_5_isolate_SUB_22_complete_genome	0.3238	0.9837	1.0000
Americas_USA_KX544835.1_Human_herpesvirus_5_isolate_VR5022_complete_genome	0.2306	0.9866	1.0000
Americas_USA_KX544836.1_Human_herpesvirus_5_isolate_VR5201_complete_genome	0.2306	0.9874	1.0000
Americas_USA_KX544837.1_Human_herpesvirus_5_isolate_VR5235_complete_genome	0.2199	0.9882	1.0000
Americas_USA_KX544838.1_Human_herpesvirus_5_isolate_VR7863_complete_genome	0.2235	0.9863	1.0000
Europe_Israel_KR534196.1_Human_herpesvirus_5_strain_JER847_complete_genome	0.2169	0.9908	1.0000
Europe_Israel_KR534197.1_Human_herpesvirus_5_strain_JER851_complete_genome	0.2149	0.9901	1.0000
Europe_Israel_KR534198.1_Human_herpesvirus_5_strain_JER893_complete_genome	0.2292	0.9905	1.0000
Europe_Israel_KR534199.1_Human_herpesvirus_5_strain_JER1070_complete_genome	0.2158	0.9906	1.0000
Europe_Israel_KR534200.1_Human_herpesvirus_5_strain_JER1289_complete_genome	0.2314	0.9898	1.0000
Europe_Israel_KR534201.1_Human_herpesvirus_5_strain_JER2002_complete_genome	0.2156	0.9897	1.0000
Europe_Israel_KR534202.1_Human_herpesvirus_5_strain_JER2282_complete_genome	0.2310	0.9862	1.0000
Europe_Israel_KR534203.1_Human_herpesvirus_5_strain_JER3230_complete_genome	0.2216	0.9910	1.0000
Europe_Israel_KR534204.1_Human_herpesvirus_5_strain_JER3855_complete_genome	0.2471	0.9869	1.0000
Europe_Israel_KR534205.1_Human_herpesvirus_5_strain_JER4035_complete_genome	0.2228	0.9898	1.0000
Europe_Israel_KR534206.1_Human_herpesvirus_5_strain_JER4041_complete_genome	0.2163	0.9881	1.0000
Europe_Israel_KR534207.1_Human_herpesvirus_5_strain_JER4053_complete_genome	0.2191	0.9890	1.0000
Europe_Israel_KR534208.1_Human_herpesvirus_5_strain_JER4559_complete_genome	0.2172	0.9896	1.0000
Europe_Israel_KR534209.1_Human_herpesvirus_5_strain_JER4755_complete_genome	0.2307	0.9889	1.0000
Europe_Israel_KR534210.1_Human_herpesvirus_5_strain_JER5268_complete_genome	0.2287	0.9887	1.0000
Europe_Israel_KR534211.1_Human_herpesvirus_5_strain_JER5409_complete_genome	0.2196	0.9920	1.0000
Europe_Israel_KR534212.1_Human_herpesvirus_5_strain_JER5550_complete_genome	0.2227	0.9876	1.0000
Europe_Israel_KR534213.1_Human_herpesvirus_5_strain_JER5695_complete_genome	0.2201	0.9902	1.0000
Europe_France_KU550087.1_Human_herpesvirus_5_strain_NAN1LA_complete_genome	0.2282	0.9872	1.0000
Europe_France_KU550088.1_Human_herpesvirus_5_strain_NAN2LA_complete_genome	0.2201	0.9851	1.0000
Europe_France_KU550089.1_Human_herpesvirus_5_strain_NAN4LA_complete_genome	0.2223	0.9910	1.0000
Europe_France_KU550090.1_Human_herpesvirus_5_strain_NANU_complete_genome	0.2178	0.9905	1.0000
Europe_Netherlands_KT726945.2_Human_betaherpesvirus_5_strain_NL/Rot6/Nasal/2012_complete_genome	0.2482	0.9860	1.0000
Europe_United_Kingdom_KT726947.2_Human_betaherpesvirus_5_strain_UK/Lon1/Blood/2013_complete_genome	0.2426	0.9879	1.0000
Europe_United_Kingdom_KT726949.2_Human_betaherpesvirus_5_strain_UK/Lon6/Urine/2011_complete_genome	0.2117	0.9889	1.0000
Europe_United_Kingdom_KT726950.2_Human_betaherpesvirus_5_strain_UK/Lon7/Urine/2011_complete_genome	0.2354	0.9905	1.0000
Europe_United_Kingdom_KT726951.2_Human_betaherpesvirus_5_strain_UK/Lon8/Urine/2012_complete_genome	0.2624	0.9910	1.0000
Europe_Germany_KJ361946.1_Human_herpesvirus_5_strain_2CEN2_complete_genome	0.2152	0.9883	1.0000
Europe_Germany_KJ361947.1_Human_herpesvirus_5_strain_2CEN5_complete_genome	0.2187	0.9890	1.0000
Europe_Germany_KJ361948.1_Human_herpesvirus_5_strain_2CEN15_complete_genome	0.2471	0.9878	1.0000
Europe_Germany_KJ361949.1_Human_herpesvirus_5_strain_2CEN30_complete_genome	0.2268	0.9921	1.0000
Europe_Germany_KJ361950.1_Human_herpesvirus_5_strain_HAN11_complete_genome	0.2621	0.9872	1.0000
Europe_Germany_KJ361951.1_Human_herpesvirus_5_strain_HAN21_complete_genome	0.2330	0.9908	1.0000
Europe_Germany_KJ361952.1_Human_herpesvirus_5_strain_HAN27_complete_genome	0.2243	0.9916	1.0000
Europe_Germany_KJ361953.1_Human_herpesvirus_5_strain_HAN30_complete_genome	0.2156	0.9901	1.0000
Europe_Germany_KJ361954.1_Human_herpesvirus_5_strain_HAN32_complete_genome	0.2185	0.9881	1.0000
Europe_Germany_KJ361955.1_Human_herpesvirus_5_strain_HAN33_complete_genome	0.2244	0.9904	1.0000
Europe_Germany_KJ361956.1_Human_herpesvirus_5_strain_HAN36_complete_genome	0.2274	0.9866	1.0000
Europe_Germany_KJ361957.1_Human_herpesvirus_5_strain_HAN39_complete_genome	0.2209	0.9871	1.0000
Europe_Germany_KJ361958.1_Human_herpesvirus_5_strain_HAN40_complete_genome	0.2176	0.9909	1.0000
